beds.slots,world_id,hours,Beds in use,Patients waiting,Patients treated,Patients died
190,0,0.0,4.0,0.0,0.0,0.0
190,0,1.0,9.0,0.0,0.0,0.0
190,0,2.0,15.0,0.0,0.0,0.0
190,0,3.0,18.0,0.0,0.0,0.0
190,0,4.0,22.0,0.0,0.0,0.0
190,0,5.0,28.0,0.0,0.0,0.0
190,0,6.0,31.0,0.0,0.0,0.0
190,0,7.0,36.0,0.0,0.0,0.0
190,0,8.0,38.0,0.0,0.0,0.0
190,0,9.0,42.0,0.0,0.0,0.0
190,0,10.0,48.0,0.0,0.0,0.0
190,0,11.0,51.0,0.0,0.0,0.0
190,0,12.0,53.0,0.0,0.0,0.0
190,0,13.0,64.0,0.0,0.0,0.0
190,0,14.0,71.0,0.0,0.0,0.0
190,0,15.0,73.0,0.0,1.0,0.0
190,0,16.0,76.0,0.0,1.0,0.0
190,0,17.0,79.0,0.0,1.0,0.0
190,0,18.0,82.0,0.0,1.0,0.0
190,0,19.0,87.0,0.0,1.0,0.0
190,0,20.0,92.0,0.0,1.0,0.0
190,0,21.0,98.0,0.0,1.0,0.0
190,0,22.0,102.0,0.0,2.0,0.0
190,0,23.0,109.0,0.0,3.0,0.0
190,0,24.0,113.0,0.0,4.0,0.0
190,0,25.0,113.0,0.0,7.0,0.0
190,0,26.0,116.0,0.0,10.0,0.0
190,0,27.0,123.0,0.0,11.0,0.0
190,0,28.0,128.0,0.0,12.0,0.0
190,0,29.0,134.0,0.0,13.0,0.0
190,0,30.0,138.0,0.0,16.0,0.0
190,0,31.0,140.0,0.0,18.0,0.0
190,0,32.0,137.0,0.0,20.0,0.0
190,0,33.0,138.0,0.0,27.0,0.0
190,0,34.0,141.0,0.0,31.0,0.0
190,0,35.0,145.0,0.0,33.0,0.0
190,0,36.0,145.0,0.0,35.0,0.0
190,0,37.0,151.0,0.0,38.0,0.0
190,0,38.0,157.0,0.0,43.0,0.0
190,0,39.0,152.0,0.0,45.0,0.0
190,0,40.0,154.0,0.0,54.0,0.0
190,0,41.0,158.0,0.0,56.0,0.0
190,0,42.0,160.0,0.0,58.0,0.0
190,0,43.0,162.0,0.0,63.0,0.0
190,0,44.0,160.0,0.0,64.0,0.0
190,0,45.0,159.0,0.0,69.0,0.0
190,0,46.0,160.0,0.0,74.0,0.0
190,0,47.0,158.0,0.0,77.0,0.0
190,0,48.0,158.0,0.0,85.0,0.0
190,0,49.0,160.0,0.0,89.0,0.0
190,0,50.0,159.0,0.0,93.0,0.0
190,0,51.0,161.0,0.0,96.0,0.0
190,0,52.0,156.0,0.0,99.0,0.0
190,0,53.0,157.0,0.0,108.0,0.0
190,0,54.0,154.0,0.0,113.0,0.0
190,0,55.0,153.0,0.0,119.0,0.0
190,0,56.0,158.0,0.0,127.0,0.0
190,0,57.0,160.0,0.0,129.0,0.0
190,0,58.0,154.0,0.0,134.0,0.0
190,0,59.0,160.0,0.0,141.0,0.0
190,0,60.0,163.0,0.0,142.0,0.0
190,0,61.0,162.0,0.0,149.0,0.0
