beds.slots,world_id,hours,Beds in use,Patients waiting,Patients treated,Patients died
180,0,0.0,9.0,0.0,0.0,0.0
180,0,1.0,15.0,0.0,0.0,0.0
180,0,2.0,25.0,0.0,0.0,0.0
180,0,3.0,26.0,0.0,0.0,0.0
180,0,4.0,33.0,0.0,0.0,0.0
180,0,5.0,39.0,0.0,0.0,0.0
180,0,6.0,41.0,0.0,0.0,0.0
180,0,7.0,47.0,0.0,0.0,0.0
180,0,8.0,52.0,0.0,0.0,0.0
180,0,9.0,56.0,0.0,0.0,0.0
180,0,10.0,60.0,0.0,0.0,0.0
180,0,11.0,67.0,0.0,0.0,0.0
180,0,12.0,71.0,0.0,0.0,0.0
180,0,13.0,79.0,0.0,0.0,0.0
180,0,14.0,83.0,0.0,0.0,0.0
180,0,15.0,86.0,0.0,0.0,0.0
180,0,16.0,90.0,0.0,0.0,0.0
180,0,17.0,93.0,0.0,0.0,0.0
180,0,18.0,97.0,0.0,1.0,0.0
180,0,19.0,101.0,0.0,2.0,0.0
180,0,20.0,105.0,0.0,3.0,0.0
180,0,21.0,111.0,0.0,4.0,0.0
180,0,22.0,118.0,0.0,5.0,0.0
180,0,23.0,126.0,0.0,5.0,0.0
180,0,24.0,129.0,0.0,6.0,0.0
180,0,25.0,131.0,0.0,8.0,0.0
180,0,26.0,134.0,0.0,13.0,0.0
180,0,27.0,132.0,0.0,16.0,0.0
180,0,28.0,132.0,0.0,21.0,0.0
180,0,29.0,131.0,0.0,28.0,0.0
180,0,30.0,134.0,0.0,31.0,0.0
180,0,31.0,134.0,0.0,33.0,0.0
180,0,32.0,132.0,0.0,39.0,0.0
180,0,33.0,137.0,0.0,43.0,0.0
180,0,34.0,138.0,0.0,44.0,0.0
180,0,35.0,143.0,0.0,50.0,0.0
180,0,36.0,142.0,0.0,53.0,0.0
180,0,37.0,144.0,0.0,59.0,0.0
180,0,38.0,141.0,0.0,63.0,0.0
180,0,39.0,142.0,0.0,68.0,0.0
180,0,40.0,140.0,0.0,70.0,0.0
180,0,41.0,141.0,0.0,75.0,0.0
180,0,42.0,141.0,0.0,79.0,0.0
180,0,43.0,136.0,0.0,85.0,0.0
180,0,44.0,136.0,0.0,95.0,0.0
180,0,45.0,138.0,0.0,99.0,0.0
180,0,46.0,136.0,0.0,102.0,0.0
180,0,47.0,139.0,0.0,109.0,0.0
180,0,48.0,146.0,0.0,112.0,0.0
180,0,49.0,147.0,0.0,114.0,0.0
180,0,50.0,139.0,0.0,116.0,0.0
180,0,51.0,140.0,0.0,128.0,0.0
180,0,52.0,143.0,0.0,132.0,0.0
180,0,53.0,142.0,0.0,137.0,0.0
180,0,54.0,141.0,0.0,143.0,0.0
180,0,55.0,139.0,0.0,148.0,0.0
180,0,56.0,140.0,0.0,154.0,0.0
180,0,57.0,143.0,0.0,156.0,0.0
180,0,58.0,147.0,0.0,162.0,0.0
180,0,59.0,147.0,0.0,163.0,0.0
180,0,60.0,151.0,0.0,171.0,0.0
180,0,61.0,149.0,0.0,174.0,0.0
180,0,62.0,152.0,0.0,181.0,0.0
180,0,63.0,150.0,0.0,184.0,0.0
180,0,64.0,154.0,0.0,191.0,0.0
180,0,65.0,153.0,0.0,193.0,0.0
180,0,66.0,161.0,0.0,198.0,0.0
180,0,67.0,162.0,0.0,200.0,0.0
180,0,68.0,156.0,0.0,204.0,0.0
180,0,69.0,156.0,0.0,212.0,0.0
180,0,70.0,160.0,0.0,220.0,0.0
180,0,71.0,159.0,0.0,223.0,0.0
180,0,72.0,160.0,0.0,230.0,0.0
180,0,73.0,163.0,0.0,233.0,0.0
180,0,74.0,158.0,0.0,237.0,0.0
180,0,75.0,161.0,0.0,246.0,0.0
180,0,76.0,164.0,0.0,248.0,0.0
180,0,77.0,160.0,0.0,249.0,0.0
180,0,78.0,158.0,0.0,257.0,0.0
180,0,79.0,163.0,0.0,264.0,0.0
180,0,80.0,166.0,0.0,268.0,0.0
180,0,81.0,164.0,0.0,269.0,0.0
180,0,82.0,166.0,0.0,275.0,0.0
180,0,83.0,163.0,0.0,280.0,0.0
180,0,84.0,162.0,0.0,287.0,0.0
180,0,85.0,163.0,0.0,293.0,0.0
